小区,区域1,区域2
南昌路114号,黄浦,淮海中路
淮海中路609号,黄浦,淮海中路
绍兴路16号,黄浦,淮海中路
南昌路106号,黄浦,淮海中路
巨鹿路310弄,黄浦,淮海中路
建国西路70号,黄浦,淮海中路
绍兴路30号,黄浦,淮海中路
复兴中路587弄,黄浦,淮海中路
长乐路81号,黄浦,淮海中路
绍兴路44号,黄浦,淮海中路
瑞金二路157号,黄浦,淮海中路
桃源坊（黄浦）,黄浦,淮海中路
思南路42弄,黄浦,淮海中路
正元里,黄浦,淮海中路
建国西路136号,黄浦,淮海中路
绍兴路98号,黄浦,淮海中路
绍兴路12号,黄浦,淮海中路
南昌路168弄,黄浦,淮海中路
香山路9号,黄浦,淮海中路
瑞金二路64号,黄浦,淮海中路
皋兰路5号,黄浦,淮海中路
雁荡路100号,黄浦,淮海中路
长乐路77号,黄浦,淮海中路
南昌路246号,黄浦,淮海中路
茂名南路78号,黄浦,淮海中路
淮海中路617号,黄浦,淮海中路
成都南路102号,黄浦,淮海中路
茂名南路134号,黄浦,淮海中路
茂名南路56弄,黄浦,淮海中路
八号桥创意园,黄浦,淮海中路
瑞金二路79号,黄浦,淮海中路
绍兴路90号,黄浦,淮海中路
建国西路138号,黄浦,淮海中路
重庆南路18号,黄浦,淮海中路
香山路22号,黄浦,淮海中路
建国西路184号,黄浦,淮海中路
瑞金二路65号,黄浦,淮海中路
进贤路138弄,黄浦,淮海中路
巨鹿路385号,黄浦,淮海中路
瑞金一路117号,黄浦,淮海中路
淮海中路650弄,黄浦,淮海中路
进贤路146号,黄浦,淮海中路
思南路46号,黄浦,淮海中路
进贤路190号,黄浦,淮海中路
南昌路135号,黄浦,淮海中路
采寿里,黄浦,淮海中路
瑞金二路49号,黄浦,淮海中路
厚德里,黄浦,淮海中路
进贤路180弄,黄浦,淮海中路
雁荡路31号,黄浦,淮海中路
复兴中路561号,黄浦,淮海中路
瑞金二路66号,黄浦,淮海中路
南昌路130号,黄浦,淮海中路
瑞金二路55号,黄浦,淮海中路
巨鹿路274号,黄浦,淮海中路
南昌路128号,黄浦,淮海中路
皋兰路23号,黄浦,淮海中路
南昌路84号,黄浦,淮海中路
皋兰路26号,黄浦,淮海中路
南昌路244弄,黄浦,淮海中路
淮海中路426弄,黄浦,淮海中路
建国西路110弄,黄浦,淮海中路
巨鹿路225弄,黄浦,淮海中路
瑞金二路155号,黄浦,淮海中路
南昌路270号,黄浦,淮海中路
南昌路100弄,黄浦,淮海中路
复兴中路563号,黄浦,淮海中路
复兴中路583弄,黄浦,淮海中路
卢湾公寓房,黄浦,淮海中路
陕西南路15号,黄浦,淮海中路
瑞金二路51号,黄浦,淮海中路
兴安路161号,黄浦,淮海中路
茂名南路124号,黄浦,淮海中路
淮海中路492弄,黄浦,淮海中路
巨鹿路229弄,黄浦,淮海中路
南昌路58号,黄浦,淮海中路
绍兴路19号,黄浦,淮海中路
淮海中路496号,黄浦,淮海中路
成都南路106号,黄浦,淮海中路
南昌路97号,黄浦,淮海中路
复兴中路588弄,黄浦,淮海中路
瑞金二路132弄,黄浦,淮海中路
陕西南路211弄,黄浦,淮海中路
绍兴路60号,黄浦,淮海中路
陕西南路191号,黄浦,淮海中路
瑞金二路146号,黄浦,淮海中路
绍兴路28号,黄浦,淮海中路
陕西南路251号,黄浦,淮海中路
绍兴路54号,黄浦,淮海中路
复兴中路532号,黄浦,淮海中路
建国西路78弄,黄浦,淮海中路
锡荣别墅,黄浦,淮海中路
延安中路551号,黄浦,淮海中路
复兴路485弄,黄浦,淮海中路
南昌路190号,黄浦,淮海中路
南昌路242号,黄浦,淮海中路
绍兴路38号,黄浦,淮海中路
南昌路254弄,黄浦,淮海中路
瑞金二路77号,黄浦,淮海中路
南昌路188号,黄浦,淮海中路
延安中路379号,黄浦,淮海中路
瑞金二路98号,黄浦,淮海中路
南昌路142号,黄浦,淮海中路
瑞金二路75号,黄浦,淮海中路
兴安路133号,黄浦,淮海中路
巨鹿路258号,黄浦,淮海中路
陕西南路153号,黄浦,淮海中路
晋福里,黄浦,淮海中路
瑞金一路137号,黄浦,淮海中路
长乐路394号,黄浦,淮海中路
绍兴路7号,黄浦,淮海中路
瑞金二路198弄,黄浦,淮海中路
国泰小区,黄浦,淮海中路
茂名坊,黄浦,淮海中路
新华联大厦,黄浦,淮海中路
建国西路144号,黄浦,淮海中路
瑞金一路140号,黄浦,淮海中路
巨鹿路379号,黄浦,淮海中路
瑞金一路138号,黄浦,淮海中路
瑞金二路24号,黄浦,淮海中路
绍兴路33号,黄浦,淮海中路
进贤老公寓,黄浦,淮海中路
复兴中路507弄,黄浦,淮海中路
复兴中路630号,黄浦,淮海中路
巨鹿路159弄,黄浦,淮海中路
巨鹿路371号,黄浦,淮海中路
巨鹿路266号,黄浦,淮海中路
进贤路174弄,黄浦,淮海中路
淮海中路834号,黄浦,淮海中路
皋兰路14号,黄浦,淮海中路
陕西南路165号,黄浦,淮海中路
复兴中路520号,黄浦,淮海中路
茂名南路122号,黄浦,淮海中路
南昌路334号,黄浦,淮海中路
白尔登公寓,黄浦,淮海中路
长乐路99号,黄浦,淮海中路
香山路26号,黄浦,淮海中路
绍兴路21号,黄浦,淮海中路
建国西路112号,黄浦,淮海中路
复兴中路586号,黄浦,淮海中路
长乐路215号,黄浦,淮海中路
进贤路128号,黄浦,淮海中路
南昌路198号,黄浦,淮海中路
长乐路87号,黄浦,淮海中路
长乐路59号,黄浦,淮海中路
南昌路89号,黄浦,淮海中路
华盛名门俱乐部,黄浦,淮海中路
进贤路234号,黄浦,淮海中路
长乐路342号,黄浦,淮海中路
进贤路232号,黄浦,淮海中路
延安中路517弄,黄浦,淮海中路
南昌路54号,黄浦,淮海中路
瑞金二路50号,黄浦,淮海中路
香山路13号,黄浦,淮海中路
长乐路95号,黄浦,淮海中路
绍兴路26号,黄浦,淮海中路
复兴中路580号,黄浦,淮海中路
复兴中路551号,黄浦,淮海中路
思南路44号,黄浦,淮海中路
建国西路156号,黄浦,淮海中路
建国西路168号,黄浦,淮海中路
孙顺里,黄浦,淮海中路
南昌路24弄,黄浦,淮海中路
思南路34号,黄浦,淮海中路
进贤路126号,黄浦,淮海中路
绍兴路56弄,黄浦,淮海中路
绍兴路9号,黄浦,淮海中路
长乐路366弄,黄浦,淮海中路
巨鹿路373号,黄浦,淮海中路
建国西路134号,黄浦,淮海中路
绍兴路52弄,黄浦,淮海中路
思南路97号,黄浦,淮海中路
瑞金一路131号,黄浦,淮海中路
南昌苑,黄浦,淮海中路
南三小区,黄浦,淮海中路
南昌路272弄,黄浦,淮海中路
雁荡路13号,黄浦,淮海中路
成都南路142弄,黄浦,淮海中路
进贤路122弄,黄浦,淮海中路
长乐路123号,黄浦,淮海中路
长乐路51号,黄浦,淮海中路
雁荡路65弄,黄浦,淮海中路
长乐路83弄,黄浦,淮海中路
长乐路239号,黄浦,淮海中路
南昌路46弄,黄浦,淮海中路
皋兰路29号,黄浦,淮海中路
长乐路462号,黄浦,淮海中路
瑞金二路130号,黄浦,淮海中路
南昌路138号,黄浦,淮海中路
成都南路89号,黄浦,淮海中路
绍兴路24号,黄浦,淮海中路
绍兴路22号,黄浦,淮海中路
长乐路37号,黄浦,淮海中路
香山路14号,黄浦,淮海中路
钟和公寓,黄浦,淮海中路
富丽华大厦,黄浦,淮海中路
雁荡路62号,黄浦,淮海中路
建国西路148号,黄浦,淮海中路
南昌路236号,黄浦,淮海中路
雁荡路68号,黄浦,淮海中路
长乐路69号,黄浦,淮海中路
陕西南路100弄,静安,淮海中路
建国西路46号,黄浦,淮海中路
茂名南路90弄,黄浦,淮海中路
重庆南路288弄,黄浦,淮海中路
南昌路290号,黄浦,淮海中路
南昌路194号,黄浦,淮海中路
南昌路67号,黄浦,淮海中路
雪豹商厦,黄浦,淮海中路
皋兰路27号,黄浦,淮海中路
复兴中路590弄,黄浦,淮海中路
重庆南路16号,黄浦,淮海中路
淮海中路706弄,黄浦,淮海中路
淮海中路832号,黄浦,淮海中路
瑞金一路121弄,黄浦,淮海中路
香山路5号,黄浦,淮海中路
巨鹿路284号,黄浦,淮海中路
南昌路157号,黄浦,淮海中路
南昌路185号,黄浦,淮海中路
永嘉路17号,黄浦,淮海中路
茂名南路24弄,黄浦,淮海中路
南昌路228号,黄浦,淮海中路
复兴中路626弄,黄浦,淮海中路
南昌路205弄,黄浦,淮海中路
进贤路218号,黄浦,淮海中路
进贤路219号,黄浦,淮海中路
长乐路344号,黄浦,淮海中路
建国西路124号,黄浦,淮海中路
淮海中路615弄,黄浦,淮海中路
绍兴路1号,黄浦,淮海中路
瑞金二路117弄,黄浦,淮海中路
建国西路140号,黄浦,淮海中路
福海里,黄浦,淮海中路
淮海中路925弄,黄浦,淮海中路
淮海中路838号,黄浦,淮海中路
建国西路180号,黄浦,淮海中路
南昌路77号,黄浦,淮海中路
巨鹿路395弄,黄浦,淮海中路
南昌路240号,黄浦,淮海中路
安宁邨,黄浦,淮海中路
香山路18弄,黄浦,淮海中路
建国西路142号,黄浦,淮海中路
永嘉路25弄,黄浦,淮海中路
长乐路286号,黄浦,淮海中路
瑞金二路68号,黄浦,淮海中路
巨鹿路264号,黄浦,淮海中路
瑞金二路63弄,黄浦,淮海中路
上海别墅,黄浦,淮海中路
南昌路83弄,黄浦,淮海中路
巨鹿路360号,黄浦,淮海中路
瑞金二路131号,黄浦,淮海中路
建国中路489弄,黄浦,淮海中路
建国中路18弄,黄浦,淮海中路
巨鹿路423号,黄浦,淮海中路
南昌路284号,黄浦,淮海中路
长乐路338号,黄浦,淮海中路
南昌路209弄,黄浦,淮海中路
进贤路212弄,黄浦,淮海中路
复兴中路577号,黄浦,淮海中路
长乐路386弄,黄浦,淮海中路
淮海中路664号,黄浦,淮海中路
重庆南路22号,黄浦,淮海中路
南昌路150弄,黄浦,淮海中路
南昌路134号,黄浦,淮海中路
瑞金一路99弄,黄浦,淮海中路
南昌路149弄,黄浦,淮海中路
南昌路268号,黄浦,淮海中路
长乐路113号,黄浦,淮海中路
瑞金路138号,黄浦,淮海中路
绍兴路4号,黄浦,淮海中路
南昌路98号,黄浦,淮海中路
茂名南路98号,黄浦,淮海中路
建国西路120弄,黄浦,淮海中路
陕西南路181号,黄浦,淮海中路
中和村,黄浦,淮海中路
南昌路156号,黄浦,淮海中路
淮海中路542弄,黄浦,淮海中路
长乐路292号,黄浦,淮海中路
淮海中路605号,黄浦,淮海中路
瑞金二路81号,黄浦,淮海中路
香山路10号,黄浦,淮海中路
